"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"1","Source codes for chronic lower respiratory disease","44826679","493.9","Asthma, unspecified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44821988","493.90","Asthma, unspecified type, unspecified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44823144","493.92","Asthma, unspecified type, with (acute) exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44832424","493.91","Asthma, unspecified type, with status asthmaticus","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","1569492","J47","Bronchiectasis","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44827823","494","Bronchiectasis","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45562459","J47.9","Bronchiectasis, uncomplicated","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45572172","J47.1","Bronchiectasis with (acute) exacerbation","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44826680","494.1","Bronchiectasis with acute exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45562458","J47.0","Bronchiectasis with acute lower respiratory infection","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44834770","494.0","Bronchiectasis without acute exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44820887","490","Bronchitis, not specified as acute or chronic","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208013","J40","Bronchitis, not specified as acute or chronic","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208020","J43.2","Centrilobular emphysema","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44829013","496","Chronic airway obstruction, not elsewhere classified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44820888","491","Chronic bronchitis","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44829012","493.2","Chronic obstructive asthma","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44831280","493.20","Chronic obstructive asthma, unspecified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44837136","493.22","Chronic obstructive asthma with (acute) exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44820889","493.21","Chronic obstructive asthma with status asthmaticus","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208025","J44.9","Chronic obstructive pulmonary disease, unspecified","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208024","J44.1","Chronic obstructive pulmonary disease with (acute) exacerbation","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208023","J44.0","Chronic obstructive pulmonary disease with (acute) lower respiratory infection","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44826681","506.4","Chronic respiratory conditions due to fumes and vapors","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44833611","493.82","Cough variant asthma","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45586675","J45.991","Cough variant asthma","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","1569486","J43","Emphysema","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44829011","492","Emphysema","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44827822","492.0","Emphysematous bleb","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208022","J43.9","Emphysema, unspecified","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45586674","J45.990","Exercise induced bronchospasm","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44826678","493.81","Exercise induced bronchospasm","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44832423","493.0","Extrinsic asthma","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44824287","493.00","Extrinsic asthma, unspecified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44831278","493.02","Extrinsic asthma with (acute) exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44824288","493.01","Extrinsic asthma with status asthmaticus","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44831279","493.1","Intrinsic asthma","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44824289","493.10","Intrinsic asthma, unspecified","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44837135","493.12","Intrinsic asthma with (acute) exacerbation","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","44834769","493.11","Intrinsic asthma with status asthmaticus","Condition","ICD9CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45572168","J45.2","Mild intermittent asthma","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45548116","J45.20","Mild intermittent asthma, uncomplicated","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45572169","J45.21","Mild intermittent asthma with (acute) exacerbation","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45572170","J45.22","Mild intermittent asthma with status asthmaticus","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45581859","J45.3","Mild persistent asthma","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45576951","J45.30","Mild persistent asthma, uncomplicated","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45548117","J45.31","Mild persistent asthma with (acute) exacerbation","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45576952","J45.32","Mild persistent asthma with status asthmaticus","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208016","J41.8","Mixed simple and mucopurulent chronic bronchitis","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45591558","J45.4","Moderate persistent asthma","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45601133","J45.40","Moderate persistent asthma, uncomplicated","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45543269","J45.41","Moderate persistent asthma with (acute) exacerbation","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","45557626","J45.42","Moderate persistent asthma with status asthmaticus","Condition","ICD10CM","N","false","false","false"
"1","Source codes for chronic lower respiratory disease","35208015","J41.1","Mucopurulent chronic bronchitis","Condition","ICD10CM","N","false","false","false"
