"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept","Exclude","Descendants","Mapped"
"0","GLP-1RA","45774435","1551291","dulaglutide","Drug","RxNorm","S","false","true","false"
"0","GLP-1RA","44816332","1534763","albiglutide","Drug","RxNorm","S","false","true","false"
"0","GLP-1RA","40170911","475968","liraglutide","Drug","RxNorm","S","false","true","false"
"0","GLP-1RA","1583722","60548","exenatide","Drug","RxNorm","S","false","true","false"
"0","GLP-1RA","793143","1991302","semaglutide","Drug","RxNorm","S","false","true","false"
"0","GLP-1RA","44506754","1440051","lixisenatide","Drug","RxNorm","S","false","true","false"
"1","Source codes for type 1 diabetes mellitus","44820682","250.01","Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44821787","250.03","Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44832190","250.21","Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44832191","250.23","Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44824071","250.11","Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44822934","250.13","Diabetes with ketoacidosis, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44831046","250.61","Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44819501","250.63","Diabetes with neurological manifestations, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44822936","250.51","Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44820684","250.53","Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44832192","250.31","Diabetes with other coma, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44820683","250.33","Diabetes with other coma, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44836918","250.81","Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44833368","250.83","Diabetes with other specified manifestations, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44825264","250.71","Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44819502","250.73","Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44822935","250.41","Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44834549","250.43","Diabetes with renal manifestations, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44829881","250.91","Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled","Condition","ICD9CM","N","false","false","false"
"1","Source codes for type 1 diabetes mellitus","44819504","250.93","Diabetes with unspecified complication, type I [juvenile type], uncontrolled","Condition","ICD9CM","N","false","false","false"
